,Unnamed: 0,id,Stance,uclmr,athene,solat,solat_tree,solat_deep,mix_solat_uclmr
14505,14505,14505,discuss,discuss,discuss,discuss,discuss,agree,discuss
14510,14510,14510,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
14515,14515,14515,discuss,discuss,discuss,discuss,discuss,discuss,discuss
14520,14520,14520,agree,discuss,discuss,discuss,discuss,unrelated,discuss
14525,14525,14525,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14530,14530,14530,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14535,14535,14535,discuss,agree,unrelated,discuss,discuss,discuss,discuss
14540,14540,14540,discuss,discuss,discuss,agree,agree,agree,agree
14545,14545,14545,discuss,discuss,agree,discuss,discuss,disagree,discuss
14550,14550,14550,discuss,discuss,discuss,discuss,discuss,agree,discuss
14555,14555,14555,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14560,14560,14560,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14565,14565,14565,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14570,14570,14570,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14575,14575,14575,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14580,14580,14580,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
14585,14585,14585,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14590,14590,14590,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14595,14595,14595,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14600,14600,14600,agree,discuss,discuss,discuss,discuss,agree,discuss
14605,14605,14605,disagree,discuss,discuss,agree,agree,agree,agree
14610,14610,14610,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14615,14615,14615,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14620,14620,14620,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14625,14625,14625,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14630,14630,14630,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14635,14635,14635,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14640,14640,14640,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14645,14645,14645,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14650,14650,14650,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14655,14655,14655,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14660,14660,14660,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14665,14665,14665,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14670,14670,14670,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14675,14675,14675,discuss,discuss,discuss,discuss,discuss,agree,discuss
14680,14680,14680,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
14685,14685,14685,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14690,14690,14690,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14695,14695,14695,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14700,14700,14700,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14705,14705,14705,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14710,14710,14710,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14715,14715,14715,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14720,14720,14720,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14725,14725,14725,disagree,unrelated,unrelated,agree,discuss,agree,unrelated
14730,14730,14730,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14735,14735,14735,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14740,14740,14740,agree,agree,agree,agree,agree,unrelated,agree
14745,14745,14745,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14750,14750,14750,discuss,discuss,agree,discuss,discuss,agree,discuss
14755,14755,14755,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14760,14760,14760,discuss,discuss,discuss,discuss,discuss,disagree,discuss
14765,14765,14765,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14770,14770,14770,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14775,14775,14775,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
14780,14780,14780,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14785,14785,14785,discuss,unrelated,discuss,discuss,discuss,discuss,discuss
14790,14790,14790,discuss,agree,unrelated,discuss,discuss,agree,discuss
14795,14795,14795,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14800,14800,14800,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14805,14805,14805,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14810,14810,14810,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
14815,14815,14815,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14820,14820,14820,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14825,14825,14825,discuss,agree,discuss,discuss,discuss,discuss,discuss
14830,14830,14830,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14835,14835,14835,disagree,disagree,discuss,agree,agree,disagree,agree
14840,14840,14840,unrelated,discuss,discuss,discuss,discuss,discuss,discuss
14845,14845,14845,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14850,14850,14850,discuss,discuss,discuss,discuss,discuss,discuss,discuss
14855,14855,14855,unrelated,unrelated,discuss,unrelated,unrelated,discuss,unrelated
14860,14860,14860,discuss,unrelated,discuss,agree,agree,unrelated,unrelated
14865,14865,14865,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14870,14870,14870,agree,discuss,discuss,discuss,discuss,agree,discuss
14875,14875,14875,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14880,14880,14880,discuss,discuss,discuss,discuss,discuss,agree,discuss
14885,14885,14885,agree,agree,agree,agree,agree,agree,agree
14890,14890,14890,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14895,14895,14895,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14900,14900,14900,disagree,discuss,discuss,discuss,discuss,agree,discuss
14905,14905,14905,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14910,14910,14910,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14915,14915,14915,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14920,14920,14920,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
14925,14925,14925,disagree,discuss,discuss,discuss,discuss,agree,discuss
14930,14930,14930,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14935,14935,14935,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14940,14940,14940,discuss,discuss,discuss,discuss,discuss,agree,discuss
14945,14945,14945,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14950,14950,14950,discuss,discuss,discuss,discuss,discuss,agree,discuss
14955,14955,14955,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14960,14960,14960,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
14965,14965,14965,discuss,discuss,unrelated,unrelated,unrelated,unrelated,unrelated
14970,14970,14970,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14975,14975,14975,discuss,discuss,unrelated,discuss,discuss,agree,discuss
14980,14980,14980,agree,unrelated,discuss,agree,agree,discuss,unrelated
14985,14985,14985,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14990,14990,14990,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
14995,14995,14995,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15000,15000,15000,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15005,15005,15005,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15010,15010,15010,discuss,discuss,discuss,discuss,discuss,agree,discuss
15015,15015,15015,disagree,discuss,discuss,agree,agree,unrelated,agree
15020,15020,15020,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15025,15025,15025,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
15030,15030,15030,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15035,15035,15035,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15040,15040,15040,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15045,15045,15045,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15050,15050,15050,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15055,15055,15055,unrelated,unrelated,unrelated,agree,agree,agree,unrelated
15060,15060,15060,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15065,15065,15065,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15070,15070,15070,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15075,15075,15075,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15080,15080,15080,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15085,15085,15085,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15090,15090,15090,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15095,15095,15095,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15100,15100,15100,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15105,15105,15105,discuss,discuss,discuss,agree,discuss,agree,discuss
15110,15110,15110,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15115,15115,15115,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15120,15120,15120,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15125,15125,15125,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15130,15130,15130,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15135,15135,15135,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15140,15140,15140,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15145,15145,15145,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15150,15150,15150,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15155,15155,15155,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
15160,15160,15160,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
15165,15165,15165,discuss,agree,agree,agree,agree,agree,agree
15170,15170,15170,discuss,unrelated,unrelated,discuss,discuss,discuss,unrelated
15175,15175,15175,disagree,disagree,agree,agree,discuss,agree,discuss
15180,15180,15180,unrelated,discuss,unrelated,discuss,discuss,discuss,discuss
15185,15185,15185,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15190,15190,15190,discuss,discuss,agree,discuss,discuss,agree,discuss
15195,15195,15195,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15200,15200,15200,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15205,15205,15205,agree,agree,agree,agree,discuss,agree,agree
15210,15210,15210,discuss,discuss,discuss,agree,agree,agree,agree
15215,15215,15215,discuss,agree,agree,unrelated,discuss,unrelated,discuss
15220,15220,15220,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15225,15225,15225,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15230,15230,15230,disagree,discuss,discuss,discuss,discuss,unrelated,discuss
15235,15235,15235,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15240,15240,15240,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15245,15245,15245,discuss,agree,agree,discuss,discuss,unrelated,agree
15250,15250,15250,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15255,15255,15255,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15260,15260,15260,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15265,15265,15265,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
15270,15270,15270,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15275,15275,15275,discuss,discuss,discuss,discuss,discuss,agree,discuss
15280,15280,15280,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15285,15285,15285,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15290,15290,15290,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15295,15295,15295,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15300,15300,15300,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15305,15305,15305,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15310,15310,15310,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15315,15315,15315,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15320,15320,15320,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15325,15325,15325,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15330,15330,15330,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15335,15335,15335,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15340,15340,15340,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15345,15345,15345,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
15350,15350,15350,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15355,15355,15355,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15360,15360,15360,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15365,15365,15365,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
15370,15370,15370,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15375,15375,15375,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15380,15380,15380,unrelated,unrelated,unrelated,discuss,discuss,discuss,discuss
15385,15385,15385,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15390,15390,15390,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15395,15395,15395,discuss,discuss,agree,discuss,discuss,discuss,discuss
15400,15400,15400,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15405,15405,15405,unrelated,discuss,unrelated,unrelated,unrelated,discuss,unrelated
15410,15410,15410,discuss,discuss,discuss,discuss,discuss,agree,discuss
15415,15415,15415,agree,agree,agree,agree,agree,agree,agree
15420,15420,15420,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15425,15425,15425,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15430,15430,15430,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15435,15435,15435,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15440,15440,15440,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15445,15445,15445,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
15450,15450,15450,agree,agree,agree,discuss,discuss,unrelated,agree
15455,15455,15455,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15460,15460,15460,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15465,15465,15465,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15470,15470,15470,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15475,15475,15475,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15480,15480,15480,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15485,15485,15485,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15490,15490,15490,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15495,15495,15495,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15500,15500,15500,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15505,15505,15505,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
15510,15510,15510,agree,agree,discuss,agree,discuss,agree,agree
15515,15515,15515,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15520,15520,15520,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15525,15525,15525,discuss,discuss,agree,discuss,discuss,agree,discuss
15530,15530,15530,discuss,discuss,discuss,agree,agree,agree,agree
15535,15535,15535,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15540,15540,15540,discuss,discuss,discuss,discuss,discuss,agree,discuss
15545,15545,15545,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15550,15550,15550,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15555,15555,15555,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15560,15560,15560,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15565,15565,15565,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15570,15570,15570,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15575,15575,15575,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15580,15580,15580,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15585,15585,15585,discuss,discuss,discuss,discuss,discuss,agree,discuss
15590,15590,15590,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15595,15595,15595,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15600,15600,15600,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15605,15605,15605,discuss,agree,discuss,discuss,discuss,agree,discuss
15610,15610,15610,agree,discuss,discuss,discuss,discuss,agree,discuss
15615,15615,15615,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15620,15620,15620,agree,agree,discuss,agree,discuss,agree,agree
15625,15625,15625,discuss,discuss,discuss,discuss,discuss,agree,discuss
15630,15630,15630,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15635,15635,15635,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15640,15640,15640,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15645,15645,15645,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15650,15650,15650,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15655,15655,15655,agree,agree,discuss,agree,agree,agree,agree
15660,15660,15660,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15665,15665,15665,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15670,15670,15670,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15675,15675,15675,unrelated,discuss,discuss,discuss,discuss,discuss,discuss
15680,15680,15680,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15685,15685,15685,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15690,15690,15690,unrelated,discuss,unrelated,unrelated,unrelated,discuss,unrelated
15695,15695,15695,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
15700,15700,15700,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15705,15705,15705,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15710,15710,15710,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15715,15715,15715,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15720,15720,15720,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15725,15725,15725,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15730,15730,15730,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15735,15735,15735,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15740,15740,15740,unrelated,discuss,unrelated,discuss,discuss,discuss,discuss
15745,15745,15745,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15750,15750,15750,unrelated,discuss,unrelated,unrelated,unrelated,discuss,discuss
15755,15755,15755,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15760,15760,15760,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
15765,15765,15765,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15770,15770,15770,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15775,15775,15775,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15780,15780,15780,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15785,15785,15785,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15790,15790,15790,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15795,15795,15795,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15800,15800,15800,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
15805,15805,15805,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15810,15810,15810,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15815,15815,15815,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15820,15820,15820,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15825,15825,15825,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15830,15830,15830,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15835,15835,15835,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15840,15840,15840,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15845,15845,15845,discuss,unrelated,discuss,unrelated,unrelated,agree,unrelated
15850,15850,15850,agree,discuss,discuss,discuss,discuss,agree,discuss
15855,15855,15855,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15860,15860,15860,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15865,15865,15865,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
15870,15870,15870,agree,discuss,discuss,discuss,discuss,discuss,discuss
15875,15875,15875,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15880,15880,15880,disagree,discuss,agree,agree,agree,unrelated,agree
15885,15885,15885,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15890,15890,15890,discuss,discuss,agree,discuss,discuss,unrelated,discuss
15895,15895,15895,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15900,15900,15900,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15905,15905,15905,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15910,15910,15910,discuss,discuss,unrelated,discuss,discuss,disagree,discuss
15915,15915,15915,discuss,discuss,discuss,discuss,discuss,agree,discuss
15920,15920,15920,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15925,15925,15925,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
15930,15930,15930,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15935,15935,15935,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
15940,15940,15940,agree,discuss,discuss,discuss,discuss,agree,discuss
15945,15945,15945,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15950,15950,15950,disagree,agree,agree,agree,discuss,agree,discuss
15955,15955,15955,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15960,15960,15960,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15965,15965,15965,disagree,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15970,15970,15970,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15975,15975,15975,agree,agree,agree,agree,agree,agree,agree
15980,15980,15980,discuss,discuss,discuss,discuss,discuss,discuss,discuss
15985,15985,15985,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
15990,15990,15990,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
15995,15995,15995,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16000,16000,16000,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16005,16005,16005,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
16010,16010,16010,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16015,16015,16015,discuss,discuss,discuss,discuss,discuss,discuss,discuss
16020,16020,16020,discuss,discuss,discuss,discuss,discuss,discuss,discuss
16025,16025,16025,discuss,discuss,discuss,agree,agree,disagree,agree
16030,16030,16030,discuss,discuss,agree,agree,agree,disagree,discuss
16035,16035,16035,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16040,16040,16040,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16045,16045,16045,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16050,16050,16050,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16055,16055,16055,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16060,16060,16060,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16065,16065,16065,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16070,16070,16070,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
16075,16075,16075,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
16080,16080,16080,discuss,discuss,discuss,discuss,discuss,discuss,discuss
16085,16085,16085,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16090,16090,16090,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
16095,16095,16095,agree,discuss,discuss,discuss,discuss,discuss,discuss
16100,16100,16100,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16105,16105,16105,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16110,16110,16110,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
16115,16115,16115,discuss,discuss,discuss,discuss,discuss,discuss,discuss
16120,16120,16120,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16125,16125,16125,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
16130,16130,16130,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16135,16135,16135,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16140,16140,16140,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
16145,16145,16145,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
16150,16150,16150,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16155,16155,16155,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16160,16160,16160,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16165,16165,16165,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
16170,16170,16170,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16175,16175,16175,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16180,16180,16180,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16185,16185,16185,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
16190,16190,16190,discuss,discuss,discuss,discuss,discuss,discuss,discuss
